Book_name,Author_name,Duration
The Day My Mother Never Came Home,By: Reginald Reed,Length: 7 hrs and 15 mins
Burn to Shine,By: Jonathan Maberry,Length: 19 hrs and 9 mins
The Complete Philosophy Collection,"By: Sun Tzu, Marcus Aurelius, Frederich Nietzsche, Ralph Waldo Emerson, Miyamonto Musashi, Seneca, Friedrich Nietzsche, Soren Kierkegaard, Conficuis, Plato, Lucretius, Aristotle, Epictetus, James Allen",Length: 113 hrs and 12 mins
"Abundant Mental Mastery 3 in 1 Boxset How to Stop Overthinking, Reduce Anxiety and Thrive",By: Gabrielle Townsend,Length: 13 hrs and 6 mins
A Court of Mist and Fury (Part 1 of 2) (Dramatized Adaptation),By: Sarah J. Maas,Length: 8 hrs and 26 mins
Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
The Well of Ascension,By: Brandon Sanderson,Length: 28 hrs and 56 mins
The Hero of Ages,By: Brandon Sanderson,Length: 27 hrs and 25 mins
Morning Star,By: Pierce Brown,Length: 21 hrs and 50 mins
Fae and Fare,By: pirateaba,Length: 61 hrs and 4 mins
Spring (Vernal) Equinox,"By: Michael Harbut, Michael Anderson",Length: 2 mins
Agentic Artificial Intelligence,"By: Pascal Bornet, Jochen Wirtz, Thomas H. Davenport, David De Cremer, Brian Evergreen, Phil Fersht, Rakesh Gohel, Shail Khiyara, Nandan Mullakara, Pooja Sund",Length: 14 hrs and 42 mins
Heaven's River,By: Dennis E. Taylor,Length: 16 hrs and 57 mins
Magna Carta: The Making and Legacy of the Great Charter,By: Dan Jones,Length: 3 hrs and 1 min
Unrestrained Healer,By: Jonathan Brooks,Length: 14 hrs and 30 mins
Coming in Hot,By: Deany Ray,Length: 7 hrs and 38 mins
A Storm of Swords,By: George R.R. Martin,Length: 47 hrs and 34 mins
The Collection of Sci-Fi Masterpieces (50 + books ),"By: Ray Bradbury, Isaac Asimov, E.M. Forster, Philip K. Dick, Clifford D. Simak, Wilbur S. Peacock, Fredric Brown, Kurt Vonnegut, Jerry Sohl, Robert Louis Stevenson, Arthur Machen, Poul Anderson, Jules Verne, H. G. Wells",Length: 50 hrs and 21 mins
A Clash of Kings,By: George R.R. Martin,Length: 37 hrs and 12 mins
Oathbringer,By: Brandon Sanderson,Length: 55 hrs and 5 mins
If You Tell,By: Gregg Olsen,Length: 10 hrs and 34 mins
Fourth Wing (Part 2 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 9 hrs and 22 mins
Star Wars: The Mask of Fear (Reign of the Empire),By: Alexander Freed,Length: 16 hrs and 51 mins
Anne: The Green Gables,By: L.M. Montgomery,Length: 10 hrs and 30 mins
Say You'll Remember Me,By: Abby Jimenez,Length: 9 hrs and 59 mins
The Murder House,"By: James Patterson, David Ellis",Length: 11 hrs and 26 mins
The Villainess Is an SS+ Rank Adventurer 8,By: Kaye Ng,Length: 11 hrs and 5 mins
The Numbers Killer,By: Jenifer Ruff,Length: 7 hrs and 20 mins
Does It Hurt?,By: H. D. Carlton,Length: 12 hrs and 7 mins
The Bridal Wreath,By: Sigrid Undset,Length: 11 hrs and 44 mins
Love Bites Hard,By: Lola Glass,Length: 6 hrs and 15 mins
The Silent Patient,By: Alex Michaelides,Length: 8 hrs and 33 mins
Love's Ineligible Receiver,By: Love Belvin,Length: 12 hrs and 46 mins
Defending Demeter,By: Alan D. Hansen,Length: 7 hrs and 39 mins
"The Witches of Scotland: The Complete Series, Books 1-8",By: Steven P Aitchison,Length: 32 hrs and 7 mins
Diwali for Hindus,"By: Michael Harbut, Michael Anderson",Length: 2 mins
Haunting Adeline (German Edition),By: H. D. Carlton,Length: 18 hrs and 34 mins
Binding 13,"By: Chloe Walsh, Antona Simongiovanni - traducteur",Length: 22 hrs and 53 mins
Queen of Shadows,By: Sarah J. Maas,Length: 20 hrs and 43 mins
Empire of Storms,By: Sarah J. Maas,Length: 25 hrs and 18 mins
The Envoys of War,By: Dave Lawson,Length: 11 hrs and 17 mins
Mourn the Liquid Dew of Youth,By: Tripp Ainsworth,Length: 4 hrs and 10 mins
When the Moon Hits Your Eye,By: John Scalzi,Length: 10 hrs and 5 mins
Reckless Obsession,By: Deborah Garland,Length: 10 hrs and 25 mins
His Rules,By: Piper Stone,Length: 11 hrs and 9 mins
A Little Broken,By: Kelsie Rae,Length: 13 hrs and 47 mins
The Golden Daffodil,By: Laraba Kendig,Length: 10 hrs and 23 mins
Light Speed Raiders,"By: Emily Tanner, Tyler Bowman",Length: 13 hrs and 7 mins
Pride and Prejudice,By: Jane Austen,Length: 11 hrs and 35 mins
"Harry Potter and the Deathly Hallows, Book 7",By: J.K. Rowling,Length: 21 hrs and 36 mins
When Wizards Follow Fools,By: Andrew Rowe,Length: 19 hrs and 25 mins
He Who Fights with Monsters 2,"By: Shirtaloon, Travis Deverell",Length: 22 hrs and 1 min
"Harry Potter and the Chamber of Secrets, Book 2",By: J.K. Rowling,Length: 9 hrs and 2 mins
Nobody's Fool,By: Harlan Coben,Length: 11 hrs and 17 mins
The Will of the Many,By: James Islington,Length: 28 hrs and 14 mins
Dungeon Diving 203,By: Bruce Sentar,Length: 11 hrs and 12 mins
Fourth Wing,By: Rebecca Yarros,Length: 21 hrs and 22 mins
Hercule Poirot: The Complete Short Stories,By: Agatha Christie,Length: 35 hrs and 5 mins
"Harry Potter and the Prisoner of Azkaban, Book 3",By: J.K. Rowling,Length: 11 hrs and 49 mins
The Handmaid's Tale,By: Margaret Atwood,Length: 11 hrs and 1 min
Project Hail Mary,By: Andy Weir,Length: 16 hrs and 10 mins
"The Word of Promise Audio Bible—New King James Version, NKJV: Complete Bible",By: Thomas Nelson Inc.,Length: 98 hrs and 1 min
"Dark Matter Ascension, Book 1",By: SerasStreams,Length: 23 hrs and 6 mins
48 Laws of Power,By: Robert Greene,Length: 23 hrs and 6 mins
A Proposal to Die For,By: Molly Harper,Length: 11 hrs and 47 mins
Red Rising,By: Pierce Brown,Length: 16 hrs and 12 mins
Words of Radiance,By: Brandon Sanderson,Length: 48 hrs and 15 mins
The Women,By: Kristin Hannah,Length: 14 hrs and 57 mins
The Finish Line,By: Kate Stewart,Length: 14 hrs and 39 mins
Wicked Love,By: Willow Aster,Length: 8 hrs and 53 mins
The Path of Ascension 8,By: C. Mantis,Length: 27 hrs and 23 mins
Hell Difficulty Tutorial 3,By: Cerim,Length: 24 hrs and 19 mins
Credence,By: Penelope Douglas,Length: 16 hrs and 55 mins
The Holy Bible: King James Version,By: King James Bible,Length: 82 hrs and 53 mins
Think and Grow Rich,By: Napoleon Hill,Length: 9 hrs and 35 mins
Madame Bovary by Gustave Flaubert,By: Gustave Flaubert,Length: 12 hrs and 21 mins
The Nightingale,By: Kristin Hannah,Length: 17 hrs and 19 mins
The Boyfriend,By: Freida McFadden,Length: 9 hrs and 20 mins
King of Wrath,By: Ana Huang,Length: 12 hrs and 5 mins
Now Is the Time of Monsters,By: A.G. Mock,Length: 13 hrs and 37 mins
A Court of Silver Flames,By: Sarah J. Maas,Length: 26 hrs and 5 mins
Vicious Fae,"By: Caroline Peckham, Susanne Valenti",Length: 17 hrs and 57 mins
Morbidly Yours,By: Ivy Fairbanks,Length: 9 hrs and 34 mins
A Court of Thorns and Roses,By: Sarah J. Maas,Length: 16 hrs and 7 mins
The Complete Strategy Collection - A Modern Translation - Adapted for the Contemporary Reader,"By: Niccolò Machiavelli, Sun Tzu, Miyamoto Musashi, Confucius, Laozi, Kautilya, Napoleon Bonaparte, Frederick the Great, Julius Caesar",Length: 94 hrs and 29 mins
The Five Year Lie,By: Sarina Bowen,Length: 12 hrs and 41 mins
The Fellowship of the Ring,By: J. R. R. Tolkien,Length: 22 hrs and 38 mins
Unstoppable,By: Shon,Length: 7 hrs and 10 mins
The Sublet,By: Greer Hendricks,Length: 1 hr and 29 mins
My Dark Fairy Tale,By: Giana Darling,Length: 10 hrs and 52 mins
The Girlfriend Zone,By: Lauren Blakely,Length: 13 hrs and 36 mins
No Roast for the Weary,By: Cleo Coyle,Length: 11 hrs and 4 mins
Brave Your Story,By: Maria Ian,Length: 4 hrs and 45 mins
"An Irish Village Mystery Bundle, Books 1-3",By: Carlene O'Connor,Length: 29 hrs and 55 mins
A Dead Man on Staffin Beach,By: J M Dalgliesh,Length: 8 hrs and 45 mins
Madness,By: Shantel Tessier,Length: 23 hrs and 33 mins
Beautiful Ugly,By: Alice Feeney,Length: 9 hrs and 19 mins
Dune Messiah,By: Frank Herbert,Length: 8 hrs and 57 mins
Keep Tahoe Blue,By: Nicole Pyland,Length: 7 hrs and 30 mins
Polywise,"By: Jessica Fern, David Cooley - contributor, Carrie Jenkins - foreword",Length: 11 hrs and 31 mins
Wren,By: Ashley James,Length: 2 hrs and 16 mins
Passages,By: Brenda J. Webb,Length: 12 hrs and 28 mins
Quicksilver,By: Callie Hart,Length: 20 hrs and 41 mins
HBR Guide to Thinking Strategically,By: Harvard Business Review,Length: 5 hrs and 52 mins
Easter: The Rest of the Story,By: Rick Renner,Length: 7 hrs and 6 mins
"The America Falls Omnibus, Books 1-11",By: Scott Medbury,Length: 59 hrs and 35 mins
Three Ways to Mend a Broken Heart,By: Trilina Pucci,Length: 6 hrs and 39 mins
A Beautiful Couple,By: Leslie Wolfe,Length: 10 hrs and 48 mins
"The Mad Mick Box Set, Volume 3",By: Franklin Horton,Length: 29 hrs and 2 mins
Notes on Shapeshifting,By: Gabi Abrão,Length: 1 hr and 35 mins
Priest: A Love Story,By: Sierra Simone,Length: 8 hrs and 7 mins
Pucking Around,By: Emily Rath,Length: 24 hrs and 41 mins
Why We Sleep,By: Matthew Walker,Length: 13 hrs and 52 mins
The Kings of Kearny,By: Navessa Allen,Length: 9 hrs and 18 mins
The History of the Ancient World,By: Susan Wise Bauer,Length: 26 hrs and 20 mins
The 10 Most Important Factors For Ranking Your Website,By: Zack Mozes,Length: 9 hrs
I Married a Catman,By: Regine Abel,Length: 10 hrs and 20 mins
Defiance of the Fall 2,"By: TheFirstDefier, JF Brink",Length: 24 hrs and 30 mins
Happy Relationships,"By: Kimberly Brown, David Michie - foreword",Length: 5 hrs and 52 mins
Lasting Prosperity,By: Arthur Belinsky,Length: 1 hr and 1 min
Dr. Sebi’s Natural Cures Bible: 4 in 1,By: Meggie Drew,Length: 8 hrs and 56 mins
The Silmarillion,"By: J. R. R. Tolkien, Christopher Tolkien",Length: 19 hrs and 24 mins
Come As You Are: Revised and Updated,By: Emily Nagoski PhD,Length: 11 hrs and 30 mins
Be Smart Pay Zero Taxes,By: Mark J. Quann,Length: 7 hrs and 10 mins
The Stand,By: Stephen King,Length: 47 hrs and 47 mins
Never Lie,By: Freida McFadden,Length: 7 hrs and 20 mins
The Future Human,"By: Lee Harris, Regina Meredith",Length: 7 hrs and 10 mins
The Laws of Human Nature,By: Robert Greene,Length: 28 hrs and 26 mins
Don't Call Me Daddy,By: Jeré Anthony,Length: 14 hrs and 12 mins
A Court of Silver Flames (Part 1 of 2) (Dramatized Adaptation),By: Sarah J. Maas,Length: 10 hrs
Dungeon Heroes Omnibus: Books 1-6,"By: Shane Hammond, Marcus Sloss",Length: 73 hrs and 51 mins
Torrent Witches Cozy Mysteries Complete Box Set: Books 1-10,By: Tess Lake,Length: 65 hrs and 31 mins
A Recipe for Murder,By: Verity Bright,Length: 9 hrs and 45 mins
Under Your Scars,By: Ariel N. Anderson,Length: 19 hrs and 2 mins
Flowers of Esthelm,By: pirateaba,Length: 37 hrs and 37 mins
Greenlights,By: Matthew McConaughey,Length: 6 hrs and 51 mins
Maybe Someday,By: Colleen Hoover,Length: 10 hrs and 40 mins
James,By: Percival Everett,Length: 7 hrs and 49 mins
Scythe & Sparrow,By: Brynne Weaver,Length: 11 hrs and 36 mins
The Commuter,"By: James Patterson, Aaron Tracy",Length: 2 hrs and 30 mins
Poisoning the Well,"By: Sharon Udasin, Rachel Frazin",Length: 7 hrs and 10 mins
Wild Side,By: Elsie Silver,Length: 12 hrs and 17 mins
