date,home_team,scores,away_team
23-08-2024,Brighton,2 - 1,Man United
30-08-2024,Arsenal,1 - 1,Brighton
13-09-2024,Brighton,0 - 0,Ipswich
21-09-2024,Brighton,2 - 2,Nott'm Forest
27-09-2024,Chelsea,4 - 2,Brighton
05-10-2024,Brighton,3 - 2,Tottenham
18-10-2024,Newcastle,0 - 1,Brighton
25-10-2024,Brighton,2 - 2,Wolves
01-11-2024,Liverpool,2 - 1,Brighton
08-11-2024,Brighton,2 - 1,Man City
22-11-2024,Bournemouth,1 - 2,Brighton
28-11-2024,Brighton,1 - 1,Southampton
04-12-2024,Fulham,3 - 1,Brighton
07-12-2024,Leicester,2 - 2,Brighton
14-12-2024,Brighton,1 - 3,Crystal Palace
20-12-2024,West Ham,1 - 1,Brighton
26-12-2024,Brighton,0 - 0,Brentford
29-12-2024,Aston Villa,2 - 2,Brighton
03-01-2025,Brighton,1 - 1,Arsenal
15-01-2025,Ipswich,0 - 2,Brighton
18-01-2025,Man United,1 - 3,Brighton
24-01-2025,Brighton,0 - 1,Everton
31-01-2025,Nott'm Forest,7 - 0,Brighton
13-02-2025,Brighton,3 - 0,Chelsea
21-02-2025,Southampton,0 - 4,Brighton
24-02-2025,Brighton,2 - 1,Bournemouth
07-03-2025,Brighton,2 - 1,Fulham
14-03-2025,Man City,2 - 2,Brighton
01-04-2025,Brighton,0 - 3,Aston Villa
04-04-2025,Crystal Palace,2 - 1,Brighton
11-04-2025,Brighton,2 - 2,Leicester
17-08-2024,Chelsea,0 - 2,Man City
24-08-2024,Wolves,2 - 6,Chelsea
31-08-2024,Chelsea,1 - 1,Crystal Palace
13-09-2024,Bournemouth,0 - 1,Chelsea
20-09-2024,West Ham,0 - 3,Chelsea
27-09-2024,Chelsea,4 - 2,Brighton
05-10-2024,Chelsea,1 - 1,Nott'm Forest
19-10-2024,Liverpool,2 - 1,Chelsea
26-10-2024,Chelsea,2 - 1,Newcastle
02-11-2024,Man United,1 - 1,Chelsea
09-11-2024,Chelsea,1 - 1,Arsenal
22-11-2024,Leicester,1 - 2,Chelsea
30-11-2024,Chelsea,3 - 0,Aston Villa
03-12-2024,Southampton,1 - 5,Chelsea
07-12-2024,Tottenham,3 - 4,Chelsea
14-12-2024,Chelsea,2 - 1,Brentford
21-12-2024,Everton,0 - 0,Chelsea
25-12-2024,Chelsea,1 - 2,Fulham
29-12-2024,Ipswich,2 - 0,Chelsea
03-01-2025,Crystal Palace,1 - 1,Chelsea
13-01-2025,Chelsea,2 - 2,Bournemouth
19-01-2025,Chelsea,3 - 1,Wolves
24-01-2025,Man City,3 - 1,Chelsea
02-02-2025,Chelsea,2 - 1,West Ham
13-02-2025,Brighton,3 - 0,Chelsea
21-02-2025,Aston Villa,2 - 1,Chelsea
24-02-2025,Chelsea,4 - 0,Southampton
08-03-2025,Chelsea,1 - 0,Leicester
15-03-2025,Arsenal,1 - 0,Chelsea
02-04-2025,Chelsea,1 - 0,Tottenham
05-04-2025,Brentford,0 - 0,Chelsea
17-08-2024,Brentford,2 - 1,Crystal Palace
23-08-2024,Crystal Palace,0 - 2,West Ham
